region,name,address
Hong Kong Island,緯派發展有限公司 經營 KING LUDWIG BEERHALL,"SHOPS 1 & 2 G/F HOPWELL CENTRE, 183 QUEEN'S RD EAST, WANCHAI HK"
Hong Kong Island,雅谷餐廳有限公司,"G/F AMIGO MANSION, 79A WONG NAI CHUNG RD, HAPPY VALLEY HK"
Hong Kong Island,韋鏗有限公司 經營 KING LUDVIG GERMAN RESTAURANT,"SHOP A & C G/F GREENFIELD MANSION, 8 KINGSTON ST, CAUSEWAY BAY HK"
Hong Kong Island,福崎麵飽屋,"SHOP 2 G/F WAN TSUI SHOPPING CTR, CHAI WAN, HK"
Hong Kong Island,維也納食品有限公司經營 AMIGO BAKERY,"FLAT C 15/F DERRICK IND BLDG, 49 WONG CHUK HANG RD, ABERDEEN HK"
Hong Kong Island,聖羅蘭餅屋有限公司,"SHOP D G/F LUEN HONG APARTMENT,118 BELCHER'S STREET,KENNEDY TOWN HK"
Hong Kong Island,信德中旅船務管理有限公司經營噴射飛航,"BASEMENT 22 SHUN TAK CTR,200 CONNAUGHT RD,CENTRAL HK"
Hong Kong Island,聯生行,"RM A-C 6/F KWONG GA FTY BLDG, 64 VICTORIA RD,KENNEDY TOWN HK"
Hong Kong Island,益昌成貿易食品有限公司,"RM 1149 11/F TAI ON BLDG,72 SHAU KEI WAN RD SAI WAN HO, HONG KONG (PURCHASE OFFICE)"
Hong Kong Island,FRESH OAT BAKERY,"G/F SHOP 1 UNION PARK TOWER, 168 ELECTRIC RD, H.K."
Hong Kong Island,櫻島麵包店（灣仔）,"FLAT B G/F & M/F, 55 WAN CHAI RD, H.K."
Hong Kong Island,祥香茶餐廳,香港西環卑路乍街 107 號地下
Hong Kong Island,漢堡餅店,香港西營盤德輔道西 224-226 號地下(正街口)
Hong Kong Island,加拿大餅店,香港西環卑路乍街南海商場 33 號地下
Hong Kong Island,永發行,香港西環堅尼地城新海傍 5A 地下
Hong Kong Island,鴻昌食品,香港西環豐物道西區副食品批發市場 E16-E17 舖
Hong Kong Island,富山咖啡,香港中環結志街 30 號地下
Hong Kong Island,食品採購有公司-超群餅店,香港中環干諾道中 23 號香林大廈地下 A 舖
Hong Kong Island,丹麥餅店,香港銅鑼灣禮頓道 106 號
Hong Kong Island,香港元八有限公司,香港柴灣吉勝街 12 號達藝工業中心 909 室
Hong Kong Island,庭昌麵飽餅店,香港筲箕灣道 162 號
Hong Kong Island,第一邨餅店,香港北角英皇道 263 號地下
Hong Kong Island,新宏發餅店,香港北角春秧街 114-120E 舖
Hong Kong Island,飽飽店(V8)(海怡半島東翼),香港仔鴨脷洲海怡半島東翼商場 10-11 號地舖
Hong Kong Island,美麥多飽餅美食快餐,香港灣仔駱克道 368-374 號地下 G2 舖
Hong Kong Island,美麥多飽餅屋,香港灣仔道 162-164 號地下 A 舖
Hong Kong Island,加利年餅屋,香港西環第一街 51 號地下
Hong Kong Island,森美餐廳有限公司,香港皇后大道西 204-206 號
Hong Kong Island,加利年餅屋(北街),香港西環北街 25 號地下 B 舖
Hong Kong Island,天興號,香港西環域多利道 64 號廣基工業大廈按 18 字樓 AB 座
Hong Kong Island,華爾登餅店,香港西環德輔道西 392 號地下
Hong Kong Island,新金英餅店,香港天后留仙街 1-5 號地下
Hong Kong Island,NO.1 餅店,香港鰂魚涌 1044 號 G4 舖
Hong Kong Island,松栢餅廊,香港柴灣興民邨商場 410 號地舖
Hong Kong Island,新寶百好咖啡餅店,香港筲箕灣道 160 號
Hong Kong Island,榮生祥有限公司,香港柴灣嘉業街 56 號安全貨倉大廈 7/F
Hong Kong Island,明珠餅店,香港柴灣翠灣邨商場地下 4 號舖
Hong Kong Island,麵包小食,香港筲箕灣工廠街 28 號地下 10 號舖
Hong Kong Island,安娜餅屋(工場),香港柴灣新業街 6 號安力工業中心地下 C2 號舖
Hong Kong Island,飛龍餅店,香港柴灣怡順街 6-7 號地下(宏德居廣場)
Hong Kong Island,BREAD GARDEN LIMITED,(HONG KONG BAGUET)香港柴灣新業街 9 號 8 樓 A 座
Hong Kong Island,王家沙(太古城)有限公司,香港太古城中心二期一樓 101 號舖
Hong Kong Island,BreadTalk Concept HK Ltd,香港太古城道 18 號太古城中心 308 號
Hong Kong Island,新潤記餐廳,香港電器道 270 號
Hong Kong Island,食品採購有限公司(超群餅店),香港薄扶林華貴邨華貴商場 3 號
Hong Kong Island,飽飽店(V8)(海怡半島東翼),(福源成(香港)有限公司)香港鴨利州海怡半島西翼商場 27 號-28 號
Hong Kong Island,晶晶餅屋,香港仔鴨脷州大街 132F 號地下
Hong Kong Island,快樂餅店,灣仔大道東 106 號
Hong Kong Island,八番麵屋,香港銅鑼灣勿地街 1 號
Hong Kong Island,元八拉麵(時代廣場),(香港元八有限公司)香港銅鑼灣時代廣場一樓 103G
Hong Kong Island,元八拉麵(希慎廣場),(香港元八有限公司)香港銅鑼灣軒尼詩道 500 號
Hong Kong Island,愛皮西,香港中環結志街 1 號地下
Hong Kong Island,昌發,西環西源里 25 號地下
Hong Kong Island,齒來香,西營盤第三街 18 號地下
Hong Kong Island,美味屋,香港筲箕灣道 178 號地下
Hong Kong Island,新記,柴灣豐業街 5 號華盛中心 9 樓 C 及 D 室
Hong Kong Island,新寧,銅鑼灣波斯富街 99 號利舞臺廣場 16 樓 B 舖
Hong Kong Island,太子-太古城,太古太古城道 24 號太古城第五期夏宮閣地下
Hong Kong Island,美心食品有限公司(MX),香港鰂魚涌英皇道１０６３號２８樓
Hong Kong Island,樂活,"上環水坑口街 9 號,寶泰大廈地下 C 鋪"
Hong Kong Island,樂活,北角英皇道 278 號地下 6B 鋪
Hong Kong Island,惠蘿餅屋,筲箕灣愛禮街 2 號愛蝶灣地下 27 號鋪
Hong Kong Island,香港光美有限公司,香港仔黃竹坑道 65 號志昌行中心 6/F
Hong Kong Island,新源興粉麵茶餐廳,中環機利文新街 34-36 號地下
Hong Kong Island,昌明有限公司,柴灣安業街合明工廠大廈 1/F C
Hong Kong Island,德寶,柴灣安業街合明工廠大廈 1/F C
Hong Kong Island,霞飛會館,中環德己立街 1-13 號世紀廣場
Hong Kong Island,霞飛點心拉麵-(赤柱),赤柱佳美道 22-23 號
Hong Kong Island,金巴斯集團香港有限公司 HSBCHMB-匯豐中環總行,中環皇后大道中 1 號匯豐中環總行 27/F
Hong Kong Island,KING LUDWIG BEERHALL,赤柱美利樓 202 室
Hong Kong Island,廉政公署-職員餐廳-ICAC,(金巴斯集團香港有限公司)北角渣華道 303 號 9 樓
Hong Kong Island,SHELTER(銅鑼灣),銅鑼灣軒尼斯道 500 號希慎廣場 7/F 718-719 舖
Hong Kong Island,新藍塘麵包餐廳,香港中環堅道 71 號地下
Hong Kong Island,鮮麥鮮飽店,北角電器道 168 號地下
Hong Kong Island,阮文,西環西源里 25 號地下
Hong Kong Island,百奇斱飽西餅,西環第三街 101 號怡豐閣地下 12 號舖
Hong Kong Island,意大利餅屋,西灣河興東邨興東商場地下 1 號舖
Hong Kong Island,合發海鮮食家,筲箕灣金華街 24 號地下
Hong Kong Island,香港飯堂,北角城市花園 1-3 座城市中心地下 G24-G29
Hong Kong Island,權發飯店(柴灣道),柴灣道 333 號永利中心地下
Hong Kong Island,金怡餅店,柴灣道 388 號柴灣市政大廈一樓 71 號
Hong Kong Island,龍珠餅店(北角道),北角道 33 號和富豪庭地下 B1 舖
Hong Kong Island,嘉嘉餅店,北角書局街 27 號 A 地下
Hong Kong Island,龍珠餅店,筲箕灣東大街 105
Hong Kong Island,鐘意餅屋(小西灣),小西灣道 9 號富欣商場地下 52 號舖
Hong Kong Island,滿溢餅店,筲箕灣望隆街 102
Hong Kong Island,龍城行加茂店,筲箕灣望龍街 2 銀河商場 1 號舖
Hong Kong Island,金樺餅店,西灣河太安樓 16 號 A 地下
Hong Kong Island,龍珠餅店(英皇道),鰂魚涌英皇道 993 號
